AirportCode,Name,StateCode
12865,"Yankee Creek, AK: Yankee Creek 2",AK
12866,"Karluk, AK: Karluk Airport",AK
12868,"Koyukuk, AK: Koyukuk Airport",AK
12869,"Zachar Bay, AK: Zachar Bay Airport",AK
12870,"Kizhuyak, AK: Kizhuyak Airport",AK
12968,"Lost Harbor, AK: Lost Harbor Airport",AK
12983,"Long Island, AK: Long Island Airport",AK
12993,"Livengood, AK: Livengood Airport",AK
13003,"Kulik Lake, AK: Kulik Lake Airport",AK
13016,"Lake Minchumina, AK: Lake Minchumina Airport",AK
13028,"Lonely, AK: Lonely AS",AK
13057,"Little Port Walter, AK: Little Port Walter Airport",AK
13064,"Loring, AK: Loring Airport",AK
13083,"Lost River, AK: Lost River 1",AK
13111,"Cape Lisburne, AK: Cape Lisburne LRRS",AK
13115,"Lime Village, AK: Lime Village Airport",AK
13196,"McGrath, AK: McGrath Airport",AK
13201,"McKinley Park, AK: Denali",AK
13226,"Middleton Island, AK: Middleton Island Airport",AK
13228,"Medfra, AK: Medfra Airport",AK
13292,"Minchumina, AK: Minchumina Airport",AK
13369,"Marshall, AK: Marshall Don Hunter Sr.",AK
13381,"Manley Hot Springs, AK: Manley Hot Springs Airport",AK
13415,"Minto, AK: Minto Al Wright",AK
13432,"Moses Point, AK: Moses Point Airport",AK
13434,"Mountain Village, AK: Mountain Village Airport",AK
13467,"Anchorage, AK: Merrill Field",AK
13504,"Metlakatla, AK: Metlakatala",AK
13513,"Fairbanks, AK: Metro Field",AK
13564,"McCarthy, AK: McCarthy Airport",AK
13574,"May Creek, AK: May Creek Airport",AK
13579,"Mekoryuk, AK: Mekoryuk Airport",AK
13629,"Chenega, AK: Chenega Bay",AK
13676,"Nikolai, AK: Nikolai Airport",AK
13678,"Niblack, AK: Niblack Airport",AK
13681,"Ninilchik, AK: Ninilchik Airport",AK
13693,"Naukiti, AK: Naukiti Airport",AK
13698,"Nichen Cove, AK: Nichin Cove Seaplane Base",AK
13704,"Nelson Lagoon, AK: Nelson Lagoon Airport",AK
13710,"Nightmute, AK: Nightmute Airport",AK
13714,"Naknek, AK: Naknek Airport",AK
13715,"Nondalton, AK: Nondalton Airport",AK
13767,"Nuiqsut, AK: Nuiqsut Airport",AK
13768,"Nulato, AK: Nulato Airport",AK
13770,"Nunapitchuk, AK: Nunapitchuk Airport",AK
13806,"Kobuk, AK: Kobuk Airport",AK
13811,"Oceanic, AK: Thumb Bay",AK
13841,"Northeast Cape, AK: Northeast Cape AFS",AK
13863,"Old Harbor, AK: Old Harbor Airport",AK
13873,"Nome, AK: Nome Airport",AK
13888,"Onion Bay, AK: Onion Bay Airport",AK
13893,"Cobol, AK: Cobol Alaska/Scaled/",AK
13894,"Toksook, AK: Toksook Bay",AK
13899,"Ophir, AK: Ophir Airport",AK
13901,"McDonald Lake, AK: McDonald Lake Airport",AK
13902,"Bible Camp, AK: Bible Camp Airport",AK
13903,"Cinder River Lodge, AK: Cinder River Lodge Airport",AK
13905,"Lemesurier Island, AK: Lemesurier Island Airport",AK
13906,"Tracy Arm, AK: Tracy Arm Airport",AK
13908,"Vrems, AK: Vrems Airport",AK
13909,"Akolik, AK: Akolik Airport",AK
13910,"Mels, AK: Mels Airport",AK
13911,"Meshik, AK: Meshik Airport",AK
13912,"Telaquana Lake, AK: Telaquana Lake Airport",AK
13913,"Chelatna Lake Lodge, AK: Chelatna Lake Lodge Airport",AK
13914,"Pumice, AK: Pumice Airport",AK
13915,"Port Alsworth, AK: Points Alsworth",AK
13916,"Twin Lakes, AK: Twin Lakes Airport",AK
13917,"Sandy, AK: Sandy Airport",AK
13920,"Shirleyville, AK: Shirleyville Airport",AK
13921,"Doug Carney Strip, AK: Doug Carney Strip Airport",AK
13922,"Shisholik, AK: Shisholik Airport",AK
13923,"Sivinuvik, AK: Camp Sivinuvik",AK
13924,"American Creek, AK: American Creek Airport",AK
13934,"Port Lions, AK: Port Lions Airport",AK
13940,"Northway, AK: Northway Airport",AK
13942,"Noorvik, AK: Robert/Bob/Curtis Memorial",AK
13970,"Kotzebue, AK: Ralph Wien Memorial",AK
14013,"Palmer, AK: Warren Bud Woods Palmer Municipal",AK
14021,"Point Barrow, AK: Point Barrow LRRS",AK
14028,"Pack Creek, AK: Pack Creek Airport",AK
14037,"Portage Creek, AK: Portage Creek Airport",AK
14040,"Painter Creek, AK: Painter Creek Airport",AK
14042,"Porcupine Creek, AK: Porcupine Creek Airport",AK
14046,"Pedro Bay, AK: Pedro Bay Airport",AK
14062,"Pelican, AK: Pelican Seaplane Base",AK
14075,"Paf Warren, AK: Paf Warren Airport",AK
14077,"Port Frederick, AK: Port Frederick Airport",AK
14088,"Port Graham, AK: Port Graham Airport",AK
14102,"Point Hope, AK: Point Hope Airport",AK
14114,"Fairbanks, AK: Phillips Field",AK
14119,"Pilot Point, AK: Pilot Point Airport",AK
14125,"Point Lay, AK: Point Lay LRRS",AK
14129,"Port San Juan, AK: Port San Juan Airport",AK
14130,"Napaskiak, AK: Napaskiak Airport",AK
14167,"Port Moller, AK: Port Moller Airport",AK
14173,"Paimiut, AK: Paimiut Airport",AK
14183,"Peterson's Point, AK: Peterson's Point Airport",AK
14199,"Port Frederick, AK: Port Frederick Airport",AK
14208,"Polk Inlet, AK: Polk Inlet Airport",AK
14218,"Prospect Creek, AK: Prospect Creek Airport",AK
14229,"Port Protection, AK: Port Protection Airport",AK
14234,"Pilot Station, AK: Pilot Station Airport",AK
14244,"Point Retreat, AK: Coast Guard Heliport",AK
14256,"Petersburg, AK: Petersburg James A Johnson",AK
14268,"Port Alsworth, AK: Port Alsworth Airport",AK
14269,"Port Alice, AK: Port Alice Airport",AK
14270,"Port Alexander, AK: Port Alexander Airport",AK
14273,"Port Heiden, AK: Port Heiden Airport",AK
14276,"Port Armstrong, AK: Port Armstrong Airport",AK
14279,"Pleasant Harbour, AK: Pleasant Harbour Airport",AK
14282,"Platinum, AK: Platinum Airport",AK
14296,"Prudhoe Bay, AK: Prudhoe Bay Airport",AK
14316,"Pope Vanoy, AK: Pope Vanoy Airport",AK
14322,"Big Port Walter, AK: Big and Little Port Walter",AK
14327,"Port Ashton, AK: Port Ashton Airport",AK
14331,"Perry Island, AK: Perry Island Seaplane Base",AK
14412,"Keyes Point, AK: Keyes Point Airport",AK
14413,"Nimiuk Point, AK: Nimiuk Point Airport",AK
14415,"Sealing Point, AK: Sealing Point Airport",AK
14464,"Ugashik, AK: Randy Field",AK
14468,"Brooks Lodge, AK: Brooks Lodge Airport",AK
14474,"Ruby, AK: Ruby Airport",AK
14485,"Red Dog, AK: Red Dog Airport",AK
14493,"Red Devil, AK: Red Devil Airport",AK
14551,"Bornite/Ruby Creek, AK: Bornite Upper",AK
14559,"Rampart, AK: Rampart Airport",AK
14601,"Nixon Fork Mine, AK: Nixon Fork Mine Airport",AK
14627,"Russian Mission, AK: Russian Mission Airport",AK
14631,"Raspberry Strait, AK: Raspberry Straits",AK
14638,"Marguerite Bay, AK: Marguerite Bay Airport",AK
14655,"Rowan Bay, AK: Rowan Bay Airport",AK
14658,"Rodman Bay, AK: Rodman Bay Airport",AK
14675,"Sagwon, AK: Sagwon Airport",AK
14709,"Deadhorse, AK: Deadhorse Airport",AK
14715,"Smith Cove, AK: Smith Cove Airport",AK
14718,"Scammon Bay, AK: Scammon Bay Airport",AK
14738,"Sandpoint, AK: Sand Point",AK
14795,"Saginaw Bay, AK: Saginaw",AK
14797,"Skagway, AK: Skagway Airport",AK
14804,"Shungnak, AK: Shungnak Airport",AK
14805,"Shishmaref, AK: Shishmaref Airport",AK
14816,"Shageluk, AK: Shageluk Airport",AK
14828,"Sitka, AK: Sitka Rocky Gutierrez",AK
14855,"Sitkinak, AK: Sitkinak CGS",AK
14856,"Shaktoolik, AK: Shaktoolik Airport",AK
14863,"Skwentna, AK: Skwentna Airport",AK
14880,"Sleetmute, AK: Sleetmute Airport",AK
14895,"St. Michael, AK: St. Michael Airport",AK
14903,"Sheep Mountain, AK: Sheep Mountain Airport",AK
14919,"St. Paul, AK: St. Paul Island",AK
14934,"Solomon, AK: Solomon State Field",AK
14942,"Seldovia, AK: Seldovia Airport",AK
14987,"Stony River, AK: Stony River Airport",AK
15012,"St. George Island, AK: St. George Island Airport",AK
